catalogue id	input name	verdict	COHO ID	label	acronym synonyms	other synonyms	type	same as	clashes with	example study	example PMID	example title	example quote	example quote URL	definition	definition source	drafted by	countries	location quote	location URL	parent	parent relation	parent quote	parent URL	note
KEMRI-Wellcome	KEMRI-Wellcome	mint cohort	COHO:0002689	Kilifi Health and Demographic Surveillance System	KHDSS		cohort				PMID:41781022		We leveraged the Kilifi Health and Demographic Surveillance System of 90 257 households and asked whether they had a case of tungiasis in the household at interview during three survey rounds of routine surveys, undertaken between May 2021 and May 2022.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:41781022%20AND%20SRC:MED&format=json&resultType=core	A population cohort of the residents of a defined area around Kilifi on the Indian Ocean coast of Kenya, established in 2000 by the KEMRI-Wellcome Trust Research Programme with a census and followed by regular household visits recording births, pregnancies, migrations and deaths, with residents' admissions to Kilifi District Hospital linked to the population register, to measure the incidence of local diseases, evaluate community interventions against infectious diseases and provide a sampling frame for epidemiological studies.	PMID:22544844	Claude Opus 5.5 (Anthropic), 2026-09	Kenya	The Kilifi Health and Demographic Surveillance System (KHDSS), located on the Indian Ocean coast of Kenya, was established in 2000 as a record of births, pregnancies, migration events and deaths and is maintained by 4-monthly household visits.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3396317/fullTextXML					IHCC Cohort Atlas entry "KEMRI-Wellcome" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The entry names the institution, the KEMRI-Wellcome Trust Research Programme in Kilifi, Kenya, not a cohort; the atlas gives no description, but its population of 300,000 under the programme's director fits the programme's population cohort, the Kilifi Health and Demographic Surveillance System ('The KHDSS has 260 000 residents' in 2012, PMID:22544844), which the profile says 'is nested in the KEMRI-Wellcome Trust Research Programme in Kilifi'. The atlas's start year 2003 does not match (census September 2000 to October 2001; pregnancy surveillance from March 2003), so the identification rests on the population size and host, not on an explicit statement; the curator may want IHCC to confirm. An HDSS population is modelled as a cohort in COHO (compare COHO:0000912, Agincourt HDSS). Not in COHO: no Kilifi, KHDSS or KEMRI term. 'KEMRI-Wellcome' is an institution's name and is not proposed as a synonym.
Johns Hopkins University	Johns Hopkins University	unresolved		Kangbuk Samsung Health Study	KSHS		cohort				PMID:33146044		We obtained data from the KSHS (Kangbuk Samsung Health Study), an ongoing cohort study of South Korean men and women 18 years of age or older who underwent comprehensive annual or biennial health examinations at the clinics of the Kangbuk Samsung Hospital Total Healthcare Center in Seoul and Suwon, South Korea.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7763729/fullTextXML	An ongoing cohort of South Korean men and women aged 18 or older who have undergone comprehensive annual or biennial health examinations at the Kangbuk Samsung Hospital Total Healthcare Center clinics in Seoul and Suwon since 2002, most of them employees of companies or local government organisations examined under Korea's workplace health-screening law and their spouses, followed through repeated examinations to study risk factors for chronic disease.	PMID:31268362|PMID:33146044	Claude Opus 5.5 (Anthropic), 2026-09	South_Korea	The Kangbuk Samsung Health Study (KSHS) is an ongoing cohort study of South Korean men and women 18 years of age or older who underwent a comprehensive annual or biennial health examination at the clinics of the Kangbuk Samsung Hospital Total Healthcare Center in Seoul and Suwon, South Korea	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6792358/fullTextXML					IHCC Cohort Atlas entry "Johns Hopkins University" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The entry names an institution, Johns Hopkins University, with the country South Korea, enrolment from 2002 and 800,000 participants; the atlas gives no description. The Korean cohort that Johns Hopkins investigators, including this lead investigator, analyse is the Kangbuk Samsung Health Study (15 open-access KSHS papers co-authored by the lead investigator), and its start (health examinations from 2002) fits; I did not verify its size against the atlas's 800,000. This identification rests on those facts, not on a statement naming the atlas entry; the Korean Cancer Prevention Study-II Biobank (COHO:0000486), recruited in 2004–2013 per its COHO definition, fits the start year less well. KSHS is not in COHO (no Kangbuk or KSHS term). 'Johns Hopkins University' is an institution's name and is not proposed as a synonym. Not minted on 2026-09-25: the identification as the Kangbuk Samsung Health Study rests on the lead investigator, the country and the year; no source names the entry; the record above is kept.
Cancer Prevention Study II Nutrition Cohort	Cancer Prevention Study II Nutrition Cohort	mint cohort	COHO:0002690	Cancer Prevention Study II Nutrition Cohort		American Cancer Society Cancer Prevention Study II Nutrition Cohort|Cancer Prevention Study-II Nutrition Cohort|CPS-II Nutrition Cohort	cohort				PMID:33803340		Men and women in this study were participants in the CPS-II Nutrition Cohort, a subset of 1.2 million participants in the CPS-II Cohort (1982), who resided in 21 U.S. states when they were invited to enroll in the CPS-II Nutrition Cohort of incident cancer follow-up, beginning in 1992–1993	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8000483/fullTextXML	A subset of the Cancer Prevention Study II participants, men and women living in 21 US states, enrolled by the American Cancer Society through a mailed questionnaire in 1992–1993 and followed by biennial questionnaires, medical records and registry linkage for incident cancer and death, with blood samples from a subgroup, to study diet and other lifestyle factors and exposures in relation to cancer risk, mortality and survival.	PMID:12015775|PMID:33803340	Claude Opus 5.5 (Anthropic), 2026-09	United_States	Men and women in this study were participants in the CPS-II Nutrition Cohort, a subset of 1.2 million participants in the CPS-II Cohort (1982), who resided in 21 U.S. states when they were invited to enroll in the CPS-II Nutrition Cohort of incident cancer follow-up, beginning in 1992–1993	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8000483/fullTextXML	COHO:0000024	isSubCohortOf	Men and women in this study were participants in the CPS-II Nutrition Cohort, a subset of 1.2 million participants in the CPS-II Cohort (1982), who resided in 21 U.S. states when they were invited to enroll in the CPS-II Nutrition Cohort of incident cancer follow-up, beginning in 1992–1993	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8000483/fullTextXML	IHCC Cohort Atlas entry "Cancer Prevention Study II Nutrition Cohort" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The Nutrition Cohort is the part of Cancer Prevention Study II (COHO:0000024, enrolled 1982) that the American Cancer Society re-enrolled for incident cancer follow-up in 1992–1993; the design paper's abstract: 'The Cancer Prevention Study II Nutrition Cohort was established in 1992 and was designed to investigate the relation between diet and other lifestyle factors and exposures and the risk of cancer, mortality, and survival.' It is a separately recruited phase of CPS-II, so a new cohort isSubCohortOf COHO:0000024. COHO:0000024 already carries the catalogue synonym 'Cancer Prevention Study II (including the Nutrition cohort)'; that stays on the parent, but the curator may want to review which of the parent's example studies used Nutrition Cohort samples only (not done here). No acronym of its own was found; the atlas's name is the label.
UCL, UK	UCL, UK	same as	COHO:0002688					UKCTOCS Longitudinal Women's Cohort (UKLWC)																	IHCC Cohort Atlas entry "UCL, UK" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. A duplicate atlas entry for the UKCTOCS Longitudinal Women's Cohort, proposed as a new cohort in this batch: same lead investigator, enrolment 2001–2005 and 202,638 participants, which is the number of women randomised in UKCTOCS ('In this trial 202,638 postmenopausal women aged 50 and above were recruited through thirteen UK centres between 2001 and 2005.', PMID:40067807). It is the same people, not a separate cohort, so nothing new is minted; coho_id is empty because that term does not exist yet, and it becomes that term's id once minted. 'UCL, UK' names University College London, not the cohort, so it is not proposed as a synonym.
Taiwan Biobank	Taiwan Biobank	existing	COHO:0000436			Taiwan Biobank																			IHCC Cohort Atlas entry "Taiwan Biobank" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
AWI-Gen, University of the Witwatersrand, Johannesburg	AWI-Gen, University of the Witwatersrand, Johannesburg	existing	COHO:0000006		AWI-Gen, University of the Witwatersrand, Johannesburg	Africa Wits-INDEPTH Partnership for Genomic Studies																			IHCC Cohort Atlas entry "AWI-Gen, University of the Witwatersrand, Johannesburg" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The Africa Wits-INDEPTH partnership for Genomics studies, already COHO:0000006 (acronym AWI-Gen; countries Burkina Faso, Ghana, Kenya, South Africa, as in the atlas; established 2012, as the atlas's enrolment period). The atlas's id, which names the cohort's acronym and its host, is given as a catalogue tag (drop it if the curator prefers not to keep institution-bearing tags). The term also lacks the name as its own example paper spells it: 'The Africa Wits-INDEPTH Partnership for Genomic Studies cohort (AWI-Gen) was developed to examine genetic and environmental contributions to cardiometabolic diseases in Africans.' (https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8844072/fullTextXML).
California Teachers Study (CTS)	California Teachers Study (CTS)	existing	COHO:0001636			California Teachers Study (CTS)																			IHCC Cohort Atlas entry "California Teachers Study (CTS)" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry is the California Teachers Study (website calteachersstudy.org, City of Hope), which COHO already has as COHO:0001636 "California Teachers Study" with acronym CTS. That term is still an uncurated placeholder (no definition, example or location), so the atlas cross-reference lands on a placeholder; the atlas adds only its parenthesised form of the name.
Environmental influences on Child Health Outcomes (ECHO) Cohort	Environmental influences on Child Health Outcomes (ECHO) Cohort	mint aggregation	COHO:0002691	Environmental influences on Child Health Outcomes Cohort	ECHO|EWC	ECHO Cohort|ECHO-Wide Cohort Study|Environmental Influences on Child Health Outcomes-Wide Cohort Study|Environmental influences on Child Health Outcomes-wide Cohort|ECHO Cohort Study	cohort aggregation				PMID:40914105		We pooled data from nine study sites in the nationwide Environmental influences on Child Health Outcomes (ECHO) Cohort.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:40914105%20AND%20SRC:MED&format=json&resultType=core	A collaborative cohort study funded in 2016 by the US National Institutes of Health within the Environmental influences on Child Health Outcomes (ECHO) Program, bringing together existing and new pregnancy and paediatric cohorts across the United States and Puerto Rico under a common data collection protocol to study how early-life environmental exposures affect pre-, peri- and postnatal outcomes, airway health, obesity, neurodevelopment and positive health in children.	PMID:36963379|https://echochildren.org/	Claude Opus 5.5 (Anthropic), 2026-09	United_States|Puerto_Rico	The EWC enrolls pregnant people and children across the United States and Puerto Rico.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10403303/fullTextXML					IHCC Cohort Atlas entry "Environmental influences on Child Health Outcomes (ECHO) Cohort" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The ECHO Cohort (called the ECHO-Wide Cohort Study in its design paper, PMID:36963379) is not one recruited sample: the paper says it is "a collaborative research design comprising 69 cohorts in 31 consortia" that the NIH chose from existing studies and that now collect data under a common protocol, so it is a cohort aggregation. Member quotes are cells of Web Table 1 ("Summary of cohort sites participating in the Environmental influences on Child Health Outcomes-wide Cohort Study") in the supplement zip; the four listed are the members COHO already has (Project Viva, New Hampshire Birth Cohort Study, ELGAN, Children's Health Study). Others in the table that COHO lacks include CANDLE, MADRES, VDAART, URECA, COAST, MARBLES, EARLI, IBIS, Healthy Start, PROTECT, Navajo Birth Cohort Study, CCCEH, PRISM and ACCESS; Kaiser Permanente Research Bank (COHO:0000541) and nuMoM2b (COHO:0000877) appear only as a prenatal subset and a Utah site, so they are not listed as members. The atlas's 1980 start year reflects the legacy cohorts' extant data. Puerto_Rico is a US territory named separately in the source.
Multiethnic Cohort Study	Multiethnic Cohort Study	existing	COHO:0000121			Multiethnic Cohort Study|Multiethnic Cohort (MEC) Study|Multiethnic Cohort																			IHCC Cohort Atlas entry "Multiethnic Cohort Study" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry (website uhcancercenter.org/mec, enrolment 1993-1996, about 215,000 people) is the Hawaiʻi-Los Angeles Multiethnic Cohort, COHO:0000121 "Multiethnic Cohort Study of Diet and Health" (acronym MEC), not the exact-name match COHO:0000612 Singapore Multi-Ethnic Cohort. COHO:0000612 carries the synonym "Multi-Ethnic Cohort Study", which is really this cohort's name (it differs from the atlas name only in the hyphen and capitals); the curator may want to check whether that synonym belongs on COHO:0000612 or needs an editor note on both terms like the one they already share for MEC.
Healthy Nevada	Healthy Nevada	existing	COHO:0001869			Healthy Nevada																			IHCC Cohort Atlas entry "Healthy Nevada" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry (website healthynv.org, Renown Health and the Desert Research Institute, population genomics study from 2018) is the Healthy Nevada Project, already in COHO as COHO:0001869 "Healthy Nevada Project" (acronym HNP). That term is still an uncurated placeholder. COHO:0000828 (Helix Exome+ and Healthy Nevada Project COVID-19 Phenotypes) is a sub-study of it, not the same people.
Nurses' Health Study	Nurses' Health Study	existing	COHO:0000456			Nurses' Health Study																			IHCC Cohort Atlas entry "Nurses' Health Study" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
Kaiser Permanente Research Bank (KPRB)	Kaiser Permanente Research Bank (KPRB)	existing	COHO:0000541		KPRB	Kaiser Permanente Research Bank (KPRB)																			IHCC Cohort Atlas entry "Kaiser Permanente Research Bank (KPRB)" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
JPHC (Japan Public Health Center-based Prospective) Study and JPHC-NEXT Study	JPHC (Japan Public Health Center-based Prospective) Study and JPHC-NEXT Study	mint cohort	COHO:0002692	Japan Public Health Center-based Prospective Study for the Next Generation	JPHC-NEXT	JPHC-NEXT Study|JPHC Study for the Next Generation	cohort				PMID:41047337		We used data from the Japan Public Health Center-based Prospective Study for the Next Generation (JPHC-NEXT), a population-based cohort in Japan.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:41047337%20AND%20SRC:MED&format=json&resultType=core	A population-based prospective cohort of residents aged 40 to 74 years of 16 municipalities in seven prefectural areas of Japan, enrolled from 2011 to 2016 through a central office at the National Cancer Center and regional public health centres and universities as the successor to the Japan Public Health Center-based Prospective Study, with questionnaires and blood and urine samples, to identify risk factors for lifestyle-related diseases and factors that extend healthy life expectancy.	PMID:30713262	Claude Opus 5.5 (Anthropic), 2026-09	Japan	The JPHC-NEXT is being conducted under a population-based cohort design in 16 municipalities of seven prefectural areas across Japan	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6908844/fullTextXML					IHCC Cohort Atlas entry "JPHC (Japan Public Health Center-based Prospective) Study and JPHC-NEXT Study" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry names two cohorts run by the same group at the National Cancer Center Japan: the original JPHC Study (1990 and 1993 cohorts), which COHO already has as COHO:0000783, and JPHC-NEXT, a separately recruited population-based cohort "launched in 2011" with a baseline survey "From 2011 through 2016" (PMID:30713262), which COHO lacks. The atlas's figures (enrolment to 2016, 115,000 people; the design paper reports 115,385) and its lead investigator (first author of the JPHC-NEXT design paper) describe JPHC-NEXT, so the entry is treated as JPHC-NEXT and a new term is proposed for it. It is not a sub-cohort of JPHC (new recruitment in partly different areas), so no parent is given. Two things for the curator: the atlas cross-reference should also go on COHO:0000783, and the parenthesised fragment "Japan Public Health Center-based Prospective" that the review script extracts from the atlas name is JPHC's name and should not become a synonym of the new JPHC-NEXT term (the whole atlas name, a catalogue tag, may stay).
Qatar Biobank Cohort	Qatar Biobank Cohort	existing	COHO:0000469			Qatar Biobank Cohort																			IHCC Cohort Atlas entry "Qatar Biobank Cohort" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry (website qatarbiobank.org.qa, enrolment from 2013) is the Qatar Biobank, COHO:0000469 (acronym QBB). The Qatar Genome Program (COHO:0000394) is already recorded as a sub-cohort of it; nothing else to add beyond the atlas's form of the name.
China PEACE (Patient-centered Evaluative Assessment of Cardiac Events) Million Persons Project	China PEACE (Patient-centered Evaluative Assessment of Cardiac Events) Million Persons Project	mint cohort	COHO:0002693	China Patient-centered Evaluative Assessment of Cardiac Events Million Persons Project	China PEACE MPP|China PEACE-MPP|MPP	China PEACE Million Persons Project|China PEACE (Patient-centered Evaluative Assessment of Cardiac Events) Million Persons Project|China Patient-Centered Evaluative Assessment of Cardiac Events Million Persons Project|China PEACE-Million Persons Project|China-PEACE Million Persons Project|China PEACE million persons project	cohort		COHO:0000787		PMID:33038086		We enrolled 2 660 666 participants aged 35–75 years from 31 provinces between 2014 and 2018 in the cross-sectional China Patient-Centered Evaluative Assessment of Cardiac Events Million Persons Project.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7928212/fullTextXML	A government-funded, population-based cardiovascular screening cohort run by the National Center for Cardiovascular Diseases (Fuwai Hospital, Beijing) that, after a pilot in four provinces, enrolled community-dwelling residents aged 35 to 75 years at urban districts and rural counties in all 31 provinces of mainland China from 2014, with blood pressure, anthropometric and lipid measurements and a health questionnaire, and gave further assessment, counselling and follow-up to those at high risk, to identify people at high risk of cardiovascular disease and support research on its prevention.	PMID:26729395|PMID:33038086	Claude Opus 5.5 (Anthropic), 2026-09	China	From September 2014 to November 2018, we used a purposive sampling strategy to select 189 sites (114 rural counties, 75 urban districts) from all 31 provinces in mainland China.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7928212/fullTextXML					IHCC Cohort Atlas entry "China PEACE (Patient-centered Evaluative Assessment of Cardiac Events) Million Persons Project" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. A defined, consented population sample (the protocol calls it "a voluntary national research cohort"), screened from 2014 with follow-up of high-risk participants, so a cohort. COHO has no term for it; COHO:0000319 (PEACE, a UK autopsy study) and COHO:0001355 (H-PEACE, Korea) are unrelated. The pilot protocol gives ages 40-75 in four provinces (Jilin, Liaoning, Zhejiang, Guangxi); the national project described in PMID:33038086 enrolled ages 35-75 in all 31 provinces, which the definition follows. The acronym MPP ("Million Persons Project (MPP)" in the protocol) is also an acronym of the Malmö Preventive Project (COHO:0000787), so both terms need the shared-acronym editor note. The project is later reported under the name ChinaHEART, which I did not verify in a source I read, so it is not given as a synonym.
Million Veteran Program	Million Veteran Program	existing	COHO:0000371			Million Veteran Program																			IHCC Cohort Atlas entry "Million Veteran Program" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
Norwegian Mother and Child Cohort Study (MoBa)	Norwegian Mother and Child Cohort Study (MoBa)	existing	COHO:0000131		MoBa	Norwegian Mother and Child Cohort Study (MoBa)																			IHCC Cohort Atlas entry "Norwegian Mother and Child Cohort Study (MoBa)" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
Geisinger Cohort - MyCode Community Health Initiative	Geisinger Cohort - MyCode Community Health Initiative	existing	COHO:0000448			Geisinger Cohort - MyCode Community Health Initiative																			IHCC Cohort Atlas entry "Geisinger Cohort - MyCode Community Health Initiative" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry (website geisinger.org/mycode, enrolment from 2007) is Geisinger's MyCode Community Health Initiative, COHO:0000448 (acronym MyCode; synonyms Geisinger MyCode and others). The DiscovEHR study (COHO:0000776) is already recorded as its sub-cohort. Only the atlas's form of the name is new.
Pakistan Genomic Resource (PGR)	Pakistan Genomic Resource (PGR)	existing	COHO:0000843		PGR	Pakistan Genomic Resource (PGR)																			IHCC Cohort Atlas entry "Pakistan Genomic Resource (PGR)" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
Canadian Partnership for Tomorrow's Health	Canadian Partnership for Tomorrow's Health	existing	COHO:0000860			Canadian Partnership for Tomorrow's Health																			IHCC Cohort Atlas entry "Canadian Partnership for Tomorrow's Health" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
Korean Genome and Epidemiology Study (KoGES)	Korean Genome and Epidemiology Study (KoGES)	existing	COHO:0000411		KoGES	Korean Genome and Epidemiology Study (KoGES)																			IHCC Cohort Atlas entry "Korean Genome and Epidemiology Study (KoGES)" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
Africa Health Research Institute (AHRI) Population Cohort	Africa Health Research Institute (AHRI) Population Cohort	mint cohort	COHO:0002694	Africa Centre Demographic Information System	ACDIS|PIP|AHRI	Population Intervention Platform|Population Intervention Programme|Africa Health Research Institute Population Cohort|AHRI Population Cohort|Africa Centre Demographic Information System and population-based HIV survey|ACDIS cohort|PIP cohort	cohort				PMID:27956187		Data come from the Africa Centre Demographic Information System (ACDIS), an observational community cohort study in the uMkhanyakude district in northern KwaZulu-Natal, South Africa.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:27956187%20AND%20SRC:MED&format=json&resultType=core	An open population cohort of all resident and non-resident members of households in a demographic and health surveillance area in the uMkhanyakude district of rural KwaZulu-Natal, South Africa, established in 2000 by the Africa Centre for Health and Population Studies (now the Africa Health Research Institute) and expanded and renamed the Population Intervention Platform in 2017, with repeated household surveillance and population-based HIV surveys, to describe the demographic, social and health impact of the HIV epidemic, and later of tuberculosis and non-communicable diseases, and to evaluate interventions.	PMID:33437994	Claude Opus 5.5 (Anthropic), 2026-09	South_Africa	The aim of ACDIS was to describe the demographic, social and health impacts of a rapidly progressing HIV epidemic in rural South Africa, and to monitor the impact of intervention strategies.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7938501/fullTextXML					IHCC Cohort Atlas entry "Africa Health Research Institute (AHRI) Population Cohort" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry is AHRI's population surveillance cohort in uMkhanyakude district, KwaZulu-Natal: begun in 2000 as the Africa Centre Demographic Information System (ACDIS) and, per the 2021 cohort profile update, "In 2017, the cohort was expanded and renamed the Population Intervention Platform (PIP)." The atlas's enrolment start (2000) matches. COHO has no term for it under any of these names. I used ACDIS as the label because both cohort profiles and most papers use it; the curator may prefer the current name, Population Intervention Platform. The same paper calls PIP both "Platform" and "Programme", so both are synonyms. AHRI is the institute's acronym, kept because the atlas tags the cohort with it. Nested studies such as Vukuzazi (PMID:34849923) are separate cohort profiles and not handled here. The original 2008 cohort profile (PMID:17998242) was not read; the definition rests on the 2021 update alone.
National Biobank of Korea	National Biobank of Korea	existing	COHO:0000926			National Biobank of Korea																			IHCC Cohort Atlas entry "National Biobank of Korea" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
LifeGene	LifeGene	mint cohort	COHO:0002695	LifeGene		LifeGene study|LifeGene cohort|Swedish LifeGene cohort|LifeGene Study	cohort				PMID:39934197		The population-based LifeGene study (Sweden) randomly recruited individuals aged 18 to 43 years (n = 12 167).	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:39934197%20AND%20SRC:MED&format=json&resultType=core	A population-based prospective cohort study and research infrastructure in Sweden, run from Karolinska Institutet, that from 2009 to 2016 recruited adults from the general population, mainly in the Stockholm region, with index persons aged 18 to 45 years invited to bring their household members, and collected questionnaires, physical assessments and biological samples with planned repeated follow-up, to study diseases with onset early in life, pregnancy and early-life exposures, and later co-morbidity.	PMID:21104112|PMID:39934197	Claude Opus 5.5 (Anthropic), 2026-09	Sweden	The LifeGene study randomly invited individuals 18 years or older from the general population in Stockholm, Sweden, between 2009 and 2016	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11814342/fullTextXML					IHCC Cohort Atlas entry "LifeGene" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. LifeGene is a Swedish population-based cohort and biobank led from Karolinska Institutet (the atlas's website lifegene.se; enrolment 2009-2016). COHO has no term for it under any name. The design paper planned 500,000 participants across Sweden; the cohort as recruited (2009-2016) is mainly from Stockholm, which the definition follows. Its name has no acronym.
Shanghai Men and Women's Health Studies	Shanghai Men and Women's Health Studies	existing	COHO:0001408		SWMHS	Shanghai Men and Women's Health Studies|Shanghai Men and Women's Health Study																			IHCC Cohort Atlas entry "Shanghai Men and Women's Health Studies" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry (website swhs-smhs.app.vumc.org, lead Wei Zheng, 136,000 enrolled from 1997) is the two Vanderbilt/Shanghai cohorts together, i.e. the existing aggregation COHO:0001408 'Shanghai Women's and Men's Health Studies' (members Shanghai Women's Health Study COHO:0000553 and Shanghai Men's Health Study COHO:0000578). Add the atlas name and the variant 'Shanghai Men and Women's Health Study' as synonyms, and the acronym SWMHS, which the IHCC BMI PRS paper (PMID:37337639, table 3 column header 'SWMHS (N = 3986)') uses for the pooled studies; no other COHO term carries SWMHS.
MAUCO	MAUCO	existing	COHO:0002655			MAUCO																			IHCC Cohort Atlas entry "MAUCO" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
BGI Research	BGI Research	not a cohort																							IHCC Cohort Atlas entry "BGI Research" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry is BGI Research, the research arm of the genomics company BGI (website en.genomics.cn, lead Xun Xu), with enrolment 2015 onwards, 10,000 enrolled and 500,000 targeted, and no description naming a cohort. As listed it is an institution with an unnamed sample, so not a cohort. The most likely underlying cohort is the BGI-run 4D-SZ multi-omics cohort of Shenzhen volunteers, already in COHO as COHO:0001140 ('some volunteers providing samples from as early as 2015', PMID:34873157), but no source I found ties the atlas entry to 4D-SZ, and BGI also runs other population projects (e.g. its million Chinese genomes work), so I have not asserted a match. If the IHCC 2020 supplement names the cohort, map it then. Could not read: PMID:33103095 supplementary cohort table (requested), in case it names the BGI cohort.
Prostate, Lung, Colorectal and Ovarian Cancer Screening Trial	Prostate, Lung, Colorectal and Ovarian Cancer Screening Trial	existing	COHO:0000485			Prostate, Lung, Colorectal and Ovarian Cancer Screening Trial																			IHCC Cohort Atlas entry "Prostate, Lung, Colorectal and Ovarian Cancer Screening Trial" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
China Kadoorie Biobank	China Kadoorie Biobank	existing	COHO:0000422			China Kadoorie Biobank																			IHCC Cohort Atlas entry "China Kadoorie Biobank" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
CONSTANCES	CONSTANCES	existing	COHO:0002624			CONSTANCES																			IHCC Cohort Atlas entry "CONSTANCES" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
Qatar Genome Project	Qatar Genome Project	existing	COHO:0000394			Qatar Genome Project																			IHCC Cohort Atlas entry "Qatar Genome Project" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
SIMPLER	SIMPLER	existing	COHO:0000390			SIMPLER																			IHCC Cohort Atlas entry "SIMPLER" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym.
